system:index,area_m2,.geo
"59037,-11131",73212.35630168972,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5769075738521,-28.955816830200515],[153.5795089409198,-28.955816830200515],[153.5795089409198,-28.95321546313285],[153.5769075738521,-28.95321546313285],[153.5769075738521,-28.955816830200515]]]}"
"59038,-11131",73212.35630018612,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5795089409198,-28.955816830200515],[153.58211030798745,-28.955816830200515],[153.58211030798745,-28.95321546313285],[153.5795089409198,-28.95321546313285],[153.5795089409198,-28.955816830200515]]]}"
"59039,-11131",73212.35630086239,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58211030798745,-28.955816830200515],[153.5847116750551,-28.955816830200515],[153.5847116750551,-28.95321546313285],[153.58211030798745,-28.95321546313285],[153.58211030798745,-28.955816830200515]]]}"
"59040,-11131",73212.35630097399,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5847116750551,-28.955816830200515],[153.5873130421228,-28.955816830200515],[153.5873130421228,-28.95321546313285],[153.5847116750551,-28.95321546313285],[153.5847116750551,-28.955816830200515]]]}"
"59041,-11131",73212.35630095584,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5873130421228,-28.955816830200515],[153.58991440919044,-28.955816830200515],[153.58991440919044,-28.95321546313285],[153.5873130421228,-28.95321546313285],[153.5873130421228,-28.955816830200515]]]}"
"59036,-11130",73214.19531011637,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57430620678446,-28.95321546313285],[153.5769075738521,-28.95321546313285],[153.5769075738521,-28.950614096065184],[153.57430620678446,-28.950614096065184],[153.57430620678446,-28.95321546313285]]]}"
"59037,-11130",73214.19531169363,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5769075738521,-28.95321546313285],[153.5795089409198,-28.95321546313285],[153.5795089409198,-28.950614096065184],[153.5769075738521,-28.950614096065184],[153.5769075738521,-28.95321546313285]]]}"
"59038,-11130",73214.19531027933,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5795089409198,-28.95321546313285],[153.58211030798745,-28.95321546313285],[153.58211030798745,-28.950614096065184],[153.5795089409198,-28.950614096065184],[153.5795089409198,-28.95321546313285]]]}"
"59039,-11130",73214.19531096093,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58211030798745,-28.95321546313285],[153.5847116750551,-28.95321546313285],[153.5847116750551,-28.950614096065184],[153.58211030798745,-28.950614096065184],[153.58211030798745,-28.95321546313285]]]}"
"59040,-11130",73214.195311086,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5847116750551,-28.95321546313285],[153.5873130421228,-28.95321546313285],[153.5873130421228,-28.950614096065184],[153.5847116750551,-28.950614096065184],[153.5847116750551,-28.95321546313285]]]}"
"59041,-11130",73214.19531096461,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5873130421228,-28.95321546313285],[153.58991440919044,-28.95321546313285],[153.58991440919044,-28.950614096065184],[153.5873130421228,-28.950614096065184],[153.5873130421228,-28.95321546313285]]]}"
"59042,-11130",73214.19531102531,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58991440919044,-28.95321546313285],[153.59251577625813,-28.95321546313285],[153.59251577625813,-28.950614096065184],[153.58991440919044,-28.950614096065184],[153.58991440919044,-28.95321546313285]]]}"
"59043,-11130",73214.19531103458,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59251577625813,-28.95321546313285],[153.59511714332578,-28.95321546313285],[153.59511714332578,-28.950614096065184],[153.59251577625813,-28.950614096065184],[153.59251577625813,-28.95321546313285]]]}"
"59044,-11130",73214.1953110288,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59511714332578,-28.95321546313285],[153.59771851039346,-28.95321546313285],[153.59771851039346,-28.950614096065184],[153.59511714332578,-28.950614096065184],[153.59511714332578,-28.95321546313285]]]}"
